Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_tipus_propietari,Concepte,Valor
2025,1,Ciutat Vella,1,el Raval,1,Subjecte físic,Valor_cadastral,40122662.42
2025,1,Ciutat Vella,1,el Raval,2,Subjecte físic,Valor_cadastral,37607885.44
2025,1,Ciutat Vella,1,el Raval,3,Subjecte físic,Valor_cadastral,56391165.83
2025,1,Ciutat Vella,1,el Raval,4,Subjecte físic,Valor_cadastral,65933772.01
2025,1,Ciutat Vella,1,el Raval,5,Subjecte físic,Valor_cadastral,70698263.17
2025,1,Ciutat Vella,1,el Raval,6,Subjecte físic,Valor_cadastral,45611077.88
2025,1,Ciutat Vella,1,el Raval,7,Subjecte físic,Valor_cadastral,45911077.57
2025,1,Ciutat Vella,1,el Raval,8,Subjecte físic,Valor_cadastral,40797834.85
2025,1,Ciutat Vella,1,el Raval,9,Subjecte físic,Valor_cadastral,48576178.74
2025,1,Ciutat Vella,1,el Raval,10,Subjecte físic,Valor_cadastral,41143828.39
2025,1,Ciutat Vella,1,el Raval,11,Subjecte físic,Valor_cadastral,57989516.75
2025,1,Ciutat Vella,1,el Raval,12,Subjecte físic,Valor_cadastral,46891353.04
2025,1,Ciutat Vella,1,el Raval,13,Subjecte físic,Valor_cadastral,32739316.79
2025,1,Ciutat Vella,1,el Raval,14,Subjecte físic,Valor_cadastral,35795992
2025,1,Ciutat Vella,1,el Raval,15,Subjecte físic,Valor_cadastral,55515182.21
2025,1,Ciutat Vella,1,el Raval,16,Subjecte físic,Valor_cadastral,55478008.22
2025,1,Ciutat Vella,1,el Raval,17,Subjecte físic,Valor_cadastral,42254755.31
2025,1,Ciutat Vella,1,el Raval,18,Subjecte físic,Valor_cadastral,37775525.38
2025,1,Ciutat Vella,1,el Raval,19,Subjecte físic,Valor_cadastral,74121792.63
2025,1,Ciutat Vella,1,el Raval,20,Subjecte físic,Valor_cadastral,104677884.2
2025,1,Ciutat Vella,1,el Raval,21,Subjecte físic,Valor_cadastral,118820954.7
2025,1,Ciutat Vella,2,el Barri Gòtic,22,Subjecte físic,Valor_cadastral,115611410.2
2025,1,Ciutat Vella,2,el Barri Gòtic,23,Subjecte físic,Valor_cadastral,157398044.6
2025,1,Ciutat Vella,2,el Barri Gòtic,25,Subjecte físic,Valor_cadastral,88968245.75
2025,1,Ciutat Vella,2,el Barri Gòtic,26,Subjecte físic,Valor_cadastral,72685537.32
2025,1,Ciutat Vella,2,el Barri Gòtic,27,Subjecte físic,Valor_cadastral,77012917.28
2025,1,Ciutat Vella,2,el Barri Gòtic,28,Subjecte físic,Valor_cadastral,146394630.3
2025,1,Ciutat Vella,2,el Barri Gòtic,29,Subjecte físic,Valor_cadastral,83968347.12
2025,1,Ciutat Vella,2,el Barri Gòtic,30,Subjecte físic,Valor_cadastral,108241829.8
2025,1,Ciutat Vella,2,el Barri Gòtic,31,Subjecte físic,Valor_cadastral,73166413.02
2025,1,Ciutat Vella,3,la Barceloneta,32,Subjecte físic,Valor_cadastral,65438215.82
2025,1,Ciutat Vella,3,la Barceloneta,33,Subjecte físic,Valor_cadastral,30610155.07
2025,1,Ciutat Vella,3,la Barceloneta,34,Subjecte físic,Valor_cadastral,29481938.02
2025,1,Ciutat Vella,3,la Barceloneta,35,Subjecte físic,Valor_cadastral,30859379.11
2025,1,Ciutat Vella,3,la Barceloneta,36,Subjecte físic,Valor_cadastral,44701716.13
2025,1,Ciutat Vella,3,la Barceloneta,37,Subjecte físic,Valor_cadastral,40511063.21
2025,1,Ciutat Vella,3,la Barceloneta,38,Subjecte físic,Valor_cadastral,40319938.15
2025,1,Ciutat Vella,3,la Barceloneta,39,Subjecte físic,Valor_cadastral,49615647.94
2025,1,Ciutat Vella,3,la Barceloneta,40,Subjecte físic,Valor_cadastral,43236466.64
2025,1,Ciutat Vella,3,la Barceloneta,41,Subjecte físic,Valor_cadastral,44837393.76
2025,1,Ciutat Vella,3,la Barceloneta,42,Subjecte físic,Valor_cadastral,69801344.67
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Subjecte físic,Valor_cadastral,93872107.93
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Subjecte físic,Valor_cadastral,80391878.71
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Subjecte físic,Valor_cadastral,99549341.89
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Subjecte físic,Valor_cadastral,83998439.67
